id;reward;name;country;budget;fees;kinopoisk_rating;imdb_rating
333;Лучшие 500 фильмов;Звёздные войны: Эпизод 4 – Новая надежда;США;737000000;51951666469;8.111;8.6
376;Лучшие 500 фильмов;Однажды на Диком Западе;Италия, США;335000000;356541036;8.036;8.5
43970;Лучшие 500 фильмов;Сталкер;СССР;0;0;8.093;8.1
330;Лучшие 500 фильмов;Касабланка;США;63650000;192641281;8.03;8.5
360;Лучшие 500 фильмов;Тропы славы;США;62645000;0;8.076;8.4
44156;Лучшие 500 фильмов;Десять негритят;СССР;0;0;8.144;8.0
334;Лучшие 500 фильмов;Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу;США, Великобритания;120600000;632498224;8.069;8.4
38145;Лучшие 500 фильмов;История Хатико;Япония;0;0;8.131;8.1
843649;Лучшие 500 фильмов;Мстители: Война бесконечности;США;21507000000;137263564439;7.883;8.5
23712;Лучшие 500 фильмов;Стена;Великобритания;804000000;1490361869;8.107;8.0
649917;Лучшие 500 фильмов;По соображениям совести;Австралия, США;2680000000;11745257718;7.917;8.2
406;Лучшие 500 фильмов;Чужие;США;1239500000;8781036616;8.041;8.4
44467;Лучшие 500 фильмов;Гараж;СССР;0;0;8.016;8.2
1949;Лучшие 500 фильмов;Мачеха;США;3350000000;10700623131;8.013;6.7
81584;Лучшие 500 фильмов;Босиком по мостовой;Германия;357200000;0;7.927;7.2
647671;Лучшие 500 фильмов;Охота;Дания, Швеция;254600000;41091636;7.903;8.3
1886;Лучшие 500 фильмов;Мосты округа Мэдисон;США;1608000000;12195113339;7.977;7.6
418;Лучшие 500 фильмов;Цельнометаллическая оболочка;Великобритания, США;2010000000;3105964292;8.009;8.3
38198;Лучшие 500 фильмов;Черная кошка, белый кот;Югославия (ФР), Франция, Германия, Австрия, Греция;0;23546949;7.974;8.1
43007;Лучшие 500 фильмов;По семейным обстоятельствам ;СССР;0;0;8.171;7.8
5033;Лучшие 500 фильмов;Бумажная луна;США;167500000;2072560781;8.069;8.1
353;Лучшие 500 фильмов;Сансет бульвар;США;117384000;20076215;8.005;8.4
392541;Лучшие 500 фильмов;Освобождение: Последний штурм;СССР;0;0;8.18;7.5
508;Лучшие 500 фильмов;Земляничная поляна;Швеция;0;0;8.015;8.2
103148;Лучшие 500 фильмов;Харакири;Япония;0;0;8.1;8.7
44457;Лучшие 500 фильмов;Гамлет;СССР;0;0;8.037;8.4
